kota_administrasi,kecamatan,kelurahan,rw,tahun,bulan,lama_genangan,tanggal_kejadian,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,ketinggian_air,jumlah_meninggal
Jakarta Selatan,Kebayoran Baru,Cipete Utara,"RW 06, 07, 09, 010",2017,3,0,2 - 3,0,0,0,60 - 80,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"RW 02, 03",2017,3,0,1 - 4,0,0,0,20 - 40,0
Jakarta Selatan,Kebayoran Lama,Cipulir,RW 010,2017,3,0,3,0,0,0,10 - 100,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,RW 05,2017,3,0,"2 - 3, 8",0,0,0,30 - 80,0
Jakarta Selatan,Mampang Prapatan,Bangka,"RW 02, 03, 04",2017,3,0,1 - 4,0,0,0,70 - 100,0
Jakarta Selatan,Pancoran,Kalibata,RW 05,2017,3,0,1 - 4,0,0,0,50 - 100,0
Jakarta Selatan,Pancoran,Pengadegan,RW 01,2017,3,0,"1 - 2, 8",0,0,0,50 - 100,0
Jakarta Selatan,Pancoran,Rawajati,RW 07,2017,3,0,1 - 2,0,0,0,50,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"RW 01, 03, 04",2017,3,0,1 - 4,0,650,0,100 - 120,0
Jakarta Selatan,Pasar Minggu,Jati Padang,"RW 02, 03, 04, 05, 06, 08, 010",2017,3,0,1 - 2,0,17350,0,60 - 100,0
Jakarta Selatan,Pasar Minggu,Kebagusan,"RW 02, 03, 04, 05, 06, 07",2017,3,0,1 - 2,0,150,0,80,0
Jakarta Selatan,Pasar Minggu,Pejaten Barat,RW 02,2017,3,0,1 - 2,0,0,0,60,0
